prvdr_num,fac_name,prvdr_sbtyp_id,mdcd_vndr_num,orgnl_prtcptn_dt,prvdr_type_id,st_adr,city_name,ssa_cnty_cd,zip_cd,phne_num,crtfctn_dt,trmntn_exprtn_dt,state_cd,ssa_state_cd,state_rgn_cd,rgn_cd,fips_state_cd,fips_cnty_cd,cbsa_cd,cbsa_urbn_rrl_ind,acrdtn_type_cd,intrmdry_carr_cd,acptbl_poc_sw,fy_end_mo_day_cd,cmplnc_stus_cd,crtfctn_actn_type_cd,chow_dt,phrmcy_srvc_cd,hh_aide_srvc_cd,lab_srvc_cd,lpn_lvn_cnt,mdcl_scl_srvc_cd,othr_srvc_cd,ot_srvc_cd,nrsng_srvc_cd,prsnel_othr_cnt,pt_srvc_cd,rn_cnt,asc_bgn_srvc_dt,dntl_srgry_sw,endscpy_srgry_sw,ft_srgry_sw,ob_gyn_srgry_sw,oprtg_room_cnt,procedure_room_cnt,opthmlgy_srgry_sw,orthpdc_srgry_sw,othr_srgry_sw,otlrynglgy_srgry_sw,pain_srgry_sw,plstc_srgry_sw,rdlgy_srvc_cd,aplnc_equip_srvc_cd,brnch_cnt,brnch_oprtn_sw,chow_sw,dietn_cnt,hh_aide_cnt,hh_aide_trng_pgm_cd,intrn_rsdnt_srvc_cd,mdcr_hospc_sw,medicare_hospice_provider_num,ntrtnl_gdnc_srvc_cd,ocptnl_thrpst_cnt,pgm_prtcptn_cd,phys_thrpst_stf_cnt,reg_phrmcst_cnt,sbunit_cnt,sbunit_oprtn_sw,sbunit_sw,scl_workr_cnt,spch_pthlgst_audlgst_cnt,spch_thrpy_srvc_cd,vctnl_gdnc_srvc_cd,hospice_type,acute_resp_care_cd,cnslng_srvc_cd,cnslr_emplee_cnt,cnslr_vlntr_cnt,emplee_cnt,hh_aide_emplee_cnt,hh_aide_vlntr_cnt,hmmkr_emplee_cnt,hmmkr_srvc_cd,hmmkr_vlntr_cnt,lpn_lvn_vlntr_cnt,mdcl_scl_workr_cnt,mdcl_scl_workr_vlntr_cnt,mdcl_suply_srvc_cd,physn_cnt,physn_srvc_cd,physn_vlntr_cnt,rn_vlntr_cnt,shrt_term_ip_srvc_cd,spch_pthlgy_srvc_cd,vlntr_cnt,vlntr_othr_cnt,fed_crtfctn_stus_id,fed_crtfctn_stus_name,pgm_trmntn_cd,control_type,gnrl_fac_type_cd,processing_date,aids_bed_cnt,alzhmr_bed_cnt,bed_cnt,bed_per_room_wvr_sw,crtfd_bed_cnt,dlys_bed_cnt,dsbl_chldrn_bed_cnt,elgblty_sw,exprmt_rsrch_cndctd_sw,fax_phne_num,head_trma_bed_cnt,hntgtn_dease_bed_cnt,hosp_bsd_sw,hospc_bed_cnt,intrmdry_carr_prior_cd,isCCRC,lsc_wvr_sw,mdcr_mdcd_snf_bed_cnt,mdcr_snf_bed_cnt,mlt_fac_org_name,mlt_ownd_fac_org_sw,orgnz_fmly_mbr_grp_sw,orgnz_rsdnt_grp_sw,rehab_bed_cnt,room_size_wvr_sw,vntltr_bed_cnt,esrd_ntwrk_num,home_trng_sprt_only_srvc_sw,incntr_nctrnl_srvc_sw,sp_home_trng_sprt_hd_sw,hmdlys_srvc_sw,sp_home_trng_sprt_pd_sw,prtnl_dlys_srvc_sw,lpn_cnt,tchncl_stf_num,tchncn_cnt,dlys_stn_cnt,tchnlgst_2_yr_rdlgc_cnt,tchnlgst_asct_dgr_cnt,tchnlgst_bs_ba_dgr_cnt,mdcr_prtcptn_op_pt_spch_sw,nrsng_srvc_emplee_sw,nrsng_srvc_cntrctr_sw,nrsng_srvc_arngmt_sw,orthtc_prsthtc_emplee_sw,orthtc_prsthtc_cntrctr_sw,orthtc_prsthtc_arngmt_sw,ot_emplee_sw,ot_cntrctr_sw,ot_arngmt_sw,physn_emplee_sw,physn_cntrctr_sw,physn_arngmt_sw,psychlgcl_emplee_sw,psychlgcl_cntrctr_sw,psychlgcl_arngmt_sw,pt_emplee_sw,pt_cntrctr_sw,pt_arngmt_sw,rsprtry_care_emplee_sw,rsprtry_care_cntrctr_sw,rsprtry_care_arngmt_sw,scl_emplee_sw,scl_cntrctr_sw,scl_arngmt_sw,spch_pthlgy_emplee_sw,spch_pthlgy_cntrctr_sw,spch_pthlgy_arngmt_sw,ocptnl_thrpst_cntrct_cnt,ocptnl_thrpst_fltm_cnt,phys_thrpst_cnt,phys_thrpst_arngmt_cnt,spch_pthlgst_cnt,spch_pthlgst_arngmt_cnt,spch_pthlgst_fltm_cnt,icfiid_bed_cnt,prvdr_bsd_fac_sw,drct_care_prsnel_cnt
25C0001113,"MERIDIAN ORTHOPAEDIC SURGERY CENTER, LLC","Not Applicable","Not Available",2025-09-23,11,"5002 Highway 39 N, Building D",MERIDIAN,370,39301,6014817070,2025-09-23,"Not Available",MS,25,001,04,28,075,99925,R,"Not Available",07302,No,12-31,Yes,Initial,"Not Available",2,"Not Applicable",2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",2025-08-19,No,No,No,No,2,0,No,Yes,No,No,No,No,1,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,Proprietary,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",Yes,"Not Applicable","Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25A162,"SHEARER-RICHARDSON MEMORIAL NURSING HOME",19,00230091,1975-02-02,20,"512 ROCKWELL DRIVE ",OKOLONA,080,38860,6624475463,2024-10-03,"Not Available",MS,25,001,04,28,017,99925,R,"Not Applicable","Not Available",Yes,12-31,Yes,Recertification,"Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,City/County,"Not Applicable",2026-04-01,0,0,73,No,73,0,0,Yes,No,6624473856,0,0,No,0,"Not Available",No,No,0,0,"Not Applicable",No,No,Yes,0,No,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25A190,"TALLAHATCHIE GENERAL HOSP ECF",19,00023141,1976-10-01,20,"201 SOUTH MARKET ST",CHARLESTON,670,38921,6626475535,2024-12-04,"Not Available",MS,25,001,04,28,135,99925,R,"Not Applicable","Not Available",Yes,9-30,Yes,Recertification,"Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,County,"Not Applicable",2026-04-01,0,0,98,No,98,0,0,Yes,No,"Not Available",0,0,No,0,"Not Available",No,No,0,0,"Not Applicable",No,No,Yes,0,No,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25A374,"NOXUBEE COUNTY NURSING HOME",19,00023183,1991-10-22,20,"78 HOSPITAL RD",MACON,510,39341,6627262097,2023-10-19,"Not Available",MS,25,001,04,28,103,99925,R,"Not Applicable","Not Available",No,"Not Available",Yes,Complaint,"Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,County,"Not Applicable",2026-04-01,0,0,60,No,60,0,0,Yes,No,"Not Available",0,0,Yes,6,"Not Available",No,No,0,0,"Not Applicable",No,No,Yes,0,No,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25C0001011,"HEAD & NECK SURGERY CENTER","Not Applicable","Not Available",1996-05-16,11,"107 MILLSAPS DRIVE",HATTIESBURG,170,39402,6012685131,2018-08-30,2020-07-01,MS,25,001,04,28,035,25620,U,"Not Available","Not Available",No,"Not Available",No,"Not Available","Not Available",2,"Not Applicable",2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",1988-10-01,No,No,No,No,1,0,No,No,No,Yes,No,No,2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",4,Terminated,"01 ",Proprietary,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",No,"Not Applicable","Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25C0001015,"MEMORIAL SURGERY CENTER","Not Applicable","Not Available",1997-02-28,11,"3882 BIENVILLE BLVD","OCEAN SPRINGS",290,39564,2288726290,2017-05-23,2019-09-29,MS,25,001,04,28,059,25060,U,"Not Available","Not Available",No,"Not Available",No,"Not Available","Not Available",2,"Not Applicable",1,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",2016-10-01,No,Yes,No,No,3,0,No,No,No,No,No,No,2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",4,Terminated,"07 ",Non-Profit,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",No,"Not Applicable","Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25C0001018,"EAST MS ENDOSCOPIC CENTER","Not Applicable","Not Available",1998-07-24,11,"1926 23RD AVENUE",MERIDIAN,370,39302,6014851131,2017-05-25,2021-05-17,MS,25,001,04,28,075,99925,R,"Not Available","Not Available",No,"Not Available",No,"Not Available","Not Available",2,"Not Applicable",2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",1998-05-28,No,Yes,No,No,3,0,No,No,No,No,No,No,2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",4,Terminated,"07 ",Proprietary,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",No,"Not Applicable","Not Available","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25C0001021,"DELTA GASTROENTEROLOGY, PC","Not Applicable","Not Available",1999-09-21,11,"9140 HIGHWAY 51 NORTH",SOUTHAVEN,160,38671,6622808222,2019-07-03,"Not Available",MS,25,001,04,28,033,32820,U,"Not Available",10250,No,12-31,Yes,Recertification,"Not Available",2,"Not Applicable",2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",1999-09-02,No,Yes,No,No,2,0,No,No,No,No,No,No,2,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,Proprietary,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",Yes,"Not Applicable",6622805541,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
25G001,"MADISON COURT","Not Applicable","Not Available",1976-10-18,8,"1145 E TISDALE AV",CANTON,440,39046,6018596712,2025-06-05,"Not Available",MS,25,001,04,28,089,27140,U,"Not Applicable","Not Available",Yes,09-30,Yes,Recertification,"Not Available","Not Applicable","Not Applicable","Not Applicable",6.5,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3.5,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",116,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,"Private (proprietary)","Not Applicable",2026-04-01,"Not Applicable","Not Applicable",132,No,132,"Not Applicable","Not Applicable",Yes,"Not Applicable",6018592355,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",132,No,53.0
25G015,"HILLSIDE ICF-IID","Not Applicable","Not Available",1988-02-08,8,"C/O ELLISVILLE STATE SCHOOL HWY 11 S",ELLISVILLE,330,39437,6014779384,2026-01-07,"Not Available",MS,25,001,04,28,067,99925,R,"Not Applicable","Not Available",No,06-30,Yes,Recertification,"Not Available","Not Applicable","Not Applicable","Not Applicable",20.3,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3.7,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",97.5,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",3,Certified,00,State,"Not Applicable",2026-04-01,"Not Applicable","Not Applicable",81,No,81,"Not Applicable","Not Applicable",Yes,"Not Applicable",6014775700,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Available","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",No,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",81,No,73.5
